measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Metabolic risks,Rate,G,13.97497073,27.07296795,4.749028725
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Dietary risks,Number,G,409909.0488,544545.8288,203474.0189
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Dietary risks,Percent,G,0.035099583,0.046193741,0.017234058
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Dietary risks,Rate,G,7.662069516,10.17871649,3.80336097
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Low physical activity,Number,G,109945.7129,202204.223,51945.65223
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Low physical activity,Percent,G,0.009414208,0.016913068,0.004491701
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Low physical activity,Rate,G,2.055118562,3.779625791,0.970974414
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Tobacco,Number,G,808442.2159,1092045.488,516442.6663
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Tobacco,Percent,G,0.06921986,0.092770202,0.044575882
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Tobacco,Rate,G,15.11149968,20.41264634,9.653408779
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Alcohol use,Number,G,848366.3441,1005025.212,700695.3858
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Alcohol use,Percent,G,0.072641414,0.086086747,0.05972835
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Alcohol use,Rate,G,15.85776631,18.78605281,13.0974829
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Metabolic risks,Number,G,747639.6485,1448362.55,254065.8034
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Metabolic risks,Percent,G,0.063990941,0.123847172,0.022032396
DALYs (Disability-Adjusted Life Years),1990,Both,All ages,Tobacco,Number,HM,226625.5306,306724.0587,139665.3663
