measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Male,15 to 19,Breast cancer,Number,1990,29.27451285,31.55108678,26.82600589
Deaths,Global,Female,15 to 19,Breast cancer,Number,1990,409.0332123,470.288308,356.5145347
Deaths,Global,Both,15 to 19,Breast cancer,Number,1990,438.3077252,498.8465942,384.9597155
Deaths,Global,Male,15 to 19,Breast cancer,Percent,1990,7.52E-05,7.99E-05,7.00E-05
Deaths,Global,Female,15 to 19,Breast cancer,Percent,1990,0.001439725,0.00165922,0.001255127
Deaths,Global,Both,15 to 19,Breast cancer,Percent,1990,0.000650882,0.000742049,0.000571616
Deaths,Global,Male,15 to 19,Breast cancer,Rate,1990,0.011085687,0.011947781,0.010158485
Deaths,Global,Female,15 to 19,Breast cancer,Rate,1990,0.160073396,0.184045315,0.139520436
Deaths,Global,Both,15 to 19,Breast cancer,Rate,1990,0.084354282,0.096005258,0.074087219
Deaths,Global,Male,20 to 24,Breast cancer,Number,1990,30.0061574,33.18903382,27.3213428
Deaths,Global,Female,20 to 24,Breast cancer,Number,1990,971.8090379,1084.062986,849.9665693
Deaths,Global,Both,20 to 24,Breast cancer,Number,1990,1001.815195,1114.221711,879.2172347
Deaths,Global,Male,20 to 24,Breast cancer,Percent,1990,6.17E-05,6.76E-05,5.70E-05
Deaths,Global,Female,20 to 24,Breast cancer,Percent,1990,0.002762933,0.00307876,0.002422771
Deaths,Global,Both,20 to 24,Breast cancer,Percent,1990,0.001195861,0.001327889,0.001054135
Deaths,Global,Male,20 to 24,Breast cancer,Rate,1990,0.012084212,0.013366034,0.011002971
Deaths,Global,Female,20 to 24,Breast cancer,Rate,1990,0.397684261,0.443620887,0.347823815
Deaths,Global,Both,20 to 24,Breast cancer,Rate,1990,0.203341687,0.226157203,0.17845758
Deaths,Global,Male,25 to 29,Breast cancer,Number,1990,30.78917225,34.07724016,27.95654971
Deaths,Global,Female,25 to 29,Breast cancer,Number,1990,2913.861145,3193.489774,2612.278363
Deaths,Global,Both,25 to 29,Breast cancer,Number,1990,2944.650317,3223.819492,2641.750785
Deaths,Global,Male,25 to 29,Breast cancer,Percent,1990,6.34E-05,6.93E-05,5.83E-05
Deaths,Global,Female,25 to 29,Breast cancer,Percent,1990,0.00819297,0.008990777,0.007321967
Deaths,Global,Both,25 to 29,Breast cancer,Percent,1990,0.003499164,0.003823844,0.003164376
Deaths,Global,Male,25 to 29,Breast cancer,Rate,1990,0.013823297,0.015299528,0.012551545
Deaths,Global,Female,25 to 29,Breast cancer,Rate,1990,1.323824241,1.450865009,1.186809271
Deaths,Global,Both,25 to 29,Breast cancer,Rate,1990,0.66494183,0.727982001,0.596543022
Deaths,Global,Male,30 to 34,Breast cancer,Number,1990,40.2985939,46.45654554,35.4803689
Deaths,Global,Female,30 to 34,Breast cancer,Number,1990,8338.513694,9050.267842,7606.648928
Deaths,Global,Both,30 to 34,Breast cancer,Number,1990,8378.812288,9093.413112,7651.616002
Deaths,Global,Male,30 to 34,Breast cancer,Percent,1990,7.61E-05,8.84E-05,6.69E-05
Deaths,Global,Female,30 to 34,Breast cancer,Percent,1990,0.023341139,0.025050002,0.021453292
Deaths,Global,Both,30 to 34,Breast cancer,Percent,1990,0.009451273,0.010128859,0.008693256
Deaths,Global,Male,30 to 34,Breast cancer,Rate,1990,0.020616771,0.023767181,0.018151766
Deaths,Global,Female,30 to 34,Breast cancer,Rate,1990,4.384910498,4.759195214,4.000050364
Deaths,Global,Both,30 to 34,Breast cancer,Rate,1990,2.172765449,2.358073333,1.984191351
Deaths,Global,Male,35 to 39,Breast cancer,Number,1990,88.76754857,107.1376502,76.34328029
Deaths,Global,Female,35 to 39,Breast cancer,Number,1990,17126.12872,18356.83095,15966.16082
Deaths,Global,Both,35 to 39,Breast cancer,Number,1990,17214.89627,18442.62473,16061.03822
Deaths,Global,Male,35 to 39,Breast cancer,Percent,1990,0.000139026,0.000166517,0.000119814
Deaths,Global,Female,35 to 39,Breast cancer,Percent,1990,0.042282809,0.044885475,0.039669463
Deaths,Global,Both,35 to 39,Breast cancer,Percent,1990,0.016494935,0.01758736,0.015388209
Deaths,Global,Male,35 to 39,Breast cancer,Rate,1990,0.049589518,0.059851878,0.042648767
Deaths,Global,Female,35 to 39,Breast cancer,Rate,1990,9.857463841,10.56583191,9.189809065
Deaths,Global,Both,35 to 39,Breast cancer,Rate,1990,4.880303398,5.228355881,4.553192664
Deaths,Global,Male,40 to 44,Breast cancer,Number,1990,160.4586722,193.0373272,136.9968296
Deaths,Global,Female,40 to 44,Breast cancer,Number,1990,25038.51557,26476.21037,23832.14722
Deaths,Global,Both,40 to 44,Breast cancer,Number,1990,25198.97424,26646.55487,23995.66546
Deaths,Global,Male,40 to 44,Breast cancer,Percent,1990,0.000220367,0.000264796,0.000187947
Deaths,Global,Female,40 to 44,Breast cancer,Percent,1990,0.057866178,0.061015551,0.055504694
Deaths,Global,Both,40 to 44,Breast cancer,Percent,1990,0.02170529,0.02286236,0.020649382
Deaths,Global,Male,40 to 44,Breast cancer,Rate,1990,0.109764881,0.132050945,0.093715351
Deaths,Global,Female,40 to 44,Breast cancer,Rate,1990,17.87089178,18.89702643,17.00986318
Deaths,Global,Both,40 to 44,Breast cancer,Rate,1990,8.801850026,9.307481226,8.381541512
Deaths,Global,Male,45 to 49,Breast cancer,Number,1990,271.1271074,313.6582763,234.9960366
Deaths,Global,Female,45 to 49,Breast cancer,Number,1990,31509.17601,33499.88099,29947.71016
Deaths,Global,Both,45 to 49,Breast cancer,Number,1990,31780.30311,33779.22519,30197.59831
Deaths,Global,Male,45 to 49,Breast cancer,Percent,1990,0.00031953,0.000368213,0.000278068
Deaths,Global,Female,45 to 49,Breast cancer,Percent,1990,0.063686348,0.067065601,0.060973183
Deaths,Global,Both,45 to 49,Breast cancer,Percent,1990,0.023657121,0.025021485,0.022517816
Deaths,Global,Male,45 to 49,Breast cancer,Rate,1990,0.22876085,0.264646108,0.198275611
Deaths,Global,Female,45 to 49,Breast cancer,Rate,1990,27.6664294,29.41435511,26.29539436
Deaths,Global,Both,45 to 49,Breast cancer,Rate,1990,13.67427291,14.5343593,12.99327445
Deaths,Global,Male,50 to 54,Breast cancer,Number,1990,447.3367944,515.5702519,392.9634173
Deaths,Global,Female,50 to 54,Breast cancer,Number,1990,40807.30779,43019.29517,38845.75917
Deaths,Global,Both,50 to 54,Breast cancer,Number,1990,41254.64459,43450.23081,39279.30398
Deaths,Global,Male,50 to 54,Breast cancer,Percent,1990,0.000376013,0.000431196,0.000330762
Deaths,Global,Female,50 to 54,Breast cancer,Percent,1990,0.058625847,0.061688262,0.056158019
Deaths,Global,Both,50 to 54,Breast cancer,Percent,1990,0.02187564,0.023131458,0.020821018
Deaths,Global,Male,50 to 54,Breast cancer,Rate,1990,0.415536274,0.478919115,0.365028221
Deaths,Global,Female,50 to 54,Breast cancer,Rate,1990,38.88698177,40.9948766,37.01774047
Deaths,Global,Both,50 to 54,Breast cancer,Rate,1990,19.40563017,20.43840441,18.47645651
Deaths,Global,Male,55 to 59,Breast cancer,Number,1990,645.6785931,730.6770708,568.4504253
Deaths,Global,Female,55 to 59,Breast cancer,Number,1990,43753.53325,46006.04672,41720.20223
Deaths,Global,Both,55 to 59,Breast cancer,Number,1990,44399.21185,46651.7815,42378.22559
Deaths,Global,Male,55 to 59,Breast cancer,Percent,1990,0.000426825,0.000481242,0.000373129
Deaths,Global,Female,55 to 59,Breast cancer,Percent,1990,0.048450489,0.050656907,0.046342944
Deaths,Global,Both,55 to 59,Breast cancer,Percent,1990,0.018377393,0.019354656,0.017496164
Deaths,Global,Male,55 to 59,Breast cancer,Rate,1990,0.693956816,0.78531074,0.610954198
Deaths,Global,Female,55 to 59,Breast cancer,Rate,1990,47.36642685,49.80493882,45.16519605
Deaths,Global,Both,55 to 59,Breast cancer,Rate,1990,23.94579173,25.16066834,22.85581482
Deaths,Global,Male,60 to 64,Breast cancer,Number,1990,787.0484408,881.9244719,700.0382159
Deaths,Global,Female,60 to 64,Breast cancer,Number,1990,43857.45547,45722.24949,41984.75692
Deaths,Global,Both,60 to 64,Breast cancer,Number,1990,44644.50391,46499.21737,42730.0978
Deaths,Global,Male,60 to 64,Breast cancer,Percent,1990,0.000403167,0.000450301,0.000360588
Deaths,Global,Female,60 to 64,Breast cancer,Percent,1990,0.035736057,0.037302886,0.034252337
Deaths,Global,Both,60 to 64,Breast cancer,Percent,1990,0.014040931,0.014676241,0.013421461
Deaths,Global,Male,60 to 64,Breast cancer,Rate,1990,1.001557737,1.12229214,0.890832959
Deaths,Global,Female,60 to 64,Breast cancer,Rate,1990,53.44519958,55.71765902,51.1631076
Deaths,Global,Both,60 to 64,Breast cancer,Rate,1990,27.79112228,28.94567803,26.59940797
Deaths,Global,Male,65 to 69,Breast cancer,Number,1990,870.2341726,990.4290015,775.8374186
Deaths,Global,Female,65 to 69,Breast cancer,Number,1990,42240.43817,43979.56247,40462.42023
Deaths,Global,Both,65 to 69,Breast cancer,Number,1990,43110.67234,44918.58655,41348.78355
Deaths,Global,Male,65 to 69,Breast cancer,Percent,1990,0.000419639,0.000482636,0.000372876
Deaths,Global,Female,65 to 69,Breast cancer,Percent,1990,0.028048332,0.029274731,0.026802151
Deaths,Global,Both,65 to 69,Breast cancer,Percent,1990,0.012042165,0.012601179,0.01149847
Deaths,Global,Male,65 to 69,Breast cancer,Rate,1990,1.519854696,1.729773682,1.354991773
Deaths,Global,Female,65 to 69,Breast cancer,Rate,1990,63.77759765,66.40345038,61.09302057
