measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Southeast Asia,Both,All ages,Breast cancer,Number,1990,29245.90379,33310.36255,26417.28046
Deaths,Southeast Asia,Both,All ages,Breast cancer,Rate,1990,6.265322969,7.136048218,5.659349605
Deaths,Southeast Asia,Both,Age-standardized,Breast cancer,Rate,1990,10.14334548,11.42162493,9.222564353
Deaths,Global,Both,All ages,Breast cancer,Number,1990,380905.198,396713.6901,364814.6218
Deaths,Global,Both,All ages,Breast cancer,Rate,1990,7.11992603,7.415420275,6.819159033
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1990,9.797010559,10.20907967,9.303872485
Deaths,Australasia,Both,All ages,Breast cancer,Number,1990,3262.024359,3369.187054,3098.253107
Deaths,Australasia,Both,All ages,Breast cancer,Rate,1990,16.08687096,16.61535029,15.2792231
Deaths,Australasia,Both,Age-standardized,Breast cancer,Rate,1990,14.45665317,14.94234448,13.70066929
Deaths,North Africa and Middle East,Both,All ages,Breast cancer,Number,1990,11923.59825,13691.12969,10786.93837
Deaths,North Africa and Middle East,Both,All ages,Breast cancer,Rate,1990,3.455838729,3.968125664,3.126398475
Deaths,North Africa and Middle East,Both,Age-standardized,Breast cancer,Rate,1990,6.337196857,7.30369244,5.718136804
Deaths,Central Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1990,2333.949899,2844.960419,1864.731492
Deaths,Central Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1990,4.203817913,5.124229777,3.358680344
Deaths,Central Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1990,9.850968496,11.83258772,8.039555801
Deaths,High-income North America,Both,All ages,Breast cancer,Number,1990,52885.9031,54314.77433,50224.13032
Deaths,High-income North America,Both,All ages,Breast cancer,Rate,1990,18.82566822,19.33430009,17.87816334
Deaths,High-income North America,Both,Age-standardized,Breast cancer,Rate,1990,15.51889383,15.9128217,14.81886657
Deaths,Central Asia,Both,All ages,Breast cancer,Number,1990,5219.651208,5405.345154,5033.681697
Deaths,Central Asia,Both,All ages,Breast cancer,Rate,1990,7.535638102,7.803725434,7.267152933
