measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Breast cancer,Number,1990,380905.198,396713.6901,364814.6218
Deaths,Global,Both,All ages,Breast cancer,Rate,1990,7.11992603,7.415420275,6.819159033
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1990,9.797010559,10.20907967,9.303872485
Deaths,Global,Both,All ages,Breast cancer,Number,1991,388876.1798,405457.798,372392.9799
Deaths,Global,Both,All ages,Breast cancer,Rate,1991,7.157999928,7.463215903,6.85459553
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1991,9.771789653,10.20903736,9.283339168
Deaths,High SDI,Both,All ages,Breast cancer,Number,1990,137444.5491,140804.4287,130744.0391
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1990,16.72049374,17.12923199,15.90535893
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1990,13.54757613,13.87605177,12.89818414
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1991,107273.2417,111174.0595,103248.7337
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1991,9.229363688,9.564974561,8.883111007
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1991,10.03975581,10.40944909,9.598775174
Deaths,Global,Both,All ages,Breast cancer,Number,1992,398279.0813,414149.634,381008.1629
Deaths,Global,Both,All ages,Breast cancer,Rate,1992,7.222393468,7.510190095,6.909202607
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1992,9.776581836,10.16258565,9.265256168
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,1990,46519.99154,52302.32515,40557.43158
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,1990,4.118096228,4.629966619,3.590271634
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,1990,7.232445495,8.139543624,6.235811248
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1990,19514.30267,22897.86323,16313.30506
