measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Male,Male,All ages,Breast cancer,Number,1990,5889.139072,6370.689442,5425.135894
Deaths,Female,Female,All ages,Breast cancer,Number,1990,375016.059,390819.9087,358977.7001
Deaths,Both,Both,All ages,Breast cancer,Number,1990,380905.198,396713.6901,364814.6218
Deaths,Male,Male,All ages,Breast cancer,Rate,1990,0.218622375,0.236498959,0.201397196
Deaths,Female,Female,All ages,Breast cancer,Rate,1990,14.11905842,14.71406088,13.51522688
Deaths,Both,Both,All ages,Breast cancer,Rate,1990,7.11992603,7.415420275,6.819159033
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1990,0.366592968,0.397280255,0.336570911
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1990,17.75559948,18.50975196,16.92546398
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1990,9.797010559,10.20907967,9.303872485
Deaths,Male,Male,All ages,Breast cancer,Number,1993,6292.903505,6729.322059,5836.731558
Deaths,Female,Female,All ages,Breast cancer,Number,1993,405290.7944,420981.1693,389630.6024
Deaths,Both,Both,All ages,Breast cancer,Number,1993,411583.6979,427275.1778,395788.4356
Deaths,Male,Male,All ages,Breast cancer,Rate,1993,0.223112419,0.238585467,0.206939022
Deaths,Female,Female,All ages,Breast cancer,Rate,1993,14.60793076,15.17346028,14.04348912
Deaths,Both,Both,All ages,Breast cancer,Rate,1993,7.356322751,7.636779901,7.074010678
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1993,0.361886671,0.388794947,0.333404335
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1993,17.95972505,18.64848986,17.21396421
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1993,9.876680047,10.25436445,9.408554266
Deaths,Male,Male,All ages,Breast cancer,Number,1991,6023.964607,6488.156078,5546.798058
Deaths,Female,Female,All ages,Breast cancer,Number,1991,382852.2152,399167.0716,366846.3425
Deaths,Both,Both,All ages,Breast cancer,Number,1991,388876.1798,405457.798,372392.9799
Deaths,Male,Male,All ages,Breast cancer,Rate,1991,0.220118241,0.237079995,0.202682371
Deaths,Female,Female,All ages,Breast cancer,Rate,1991,14.20046396,14.80560224,13.60678628
Deaths,Both,Both,All ages,Breast cancer,Rate,1991,7.157999928,7.463215903,6.85459553
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1991,0.365532266,0.395463694,0.333785177
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1991,17.72680636,18.50721203,16.90429366
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1991,9.771789653,10.20903736,9.283339168
Deaths,Male,Male,All ages,Breast cancer,Number,1992,6131.256744,6575.755896,5659.410506
Deaths,Female,Female,All ages,Breast cancer,Number,1992,392147.8246,407844.8211,375027.9861
Deaths,Both,Both,All ages,Breast cancer,Number,1992,398279.0813,414149.634,381008.1629
Deaths,Male,Male,All ages,Breast cancer,Rate,1992,0.22062693,0.236621772,0.203648032
Deaths,Female,Female,All ages,Breast cancer,Rate,1992,14.33557567,14.90940387,13.70973325
Deaths,Both,Both,All ages,Breast cancer,Rate,1992,7.222393468,7.510190095,6.909202607
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1992,0.362281129,0.39056615,0.331996092
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1992,17.75839335,18.48676807,16.92547006
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1992,9.776581836,10.16258565,9.265256168
Deaths,Male,Male,All ages,Breast cancer,Number,1994,6424.598268,6873.49755,5976.83945
Deaths,Female,Female,All ages,Breast cancer,Number,1994,415464.1137,430303.2792,398746.8667
Deaths,Both,Both,All ages,Breast cancer,Number,1994,421888.712,436732.0692,404864.0148
Deaths,Male,Male,All ages,Breast cancer,Rate,1994,0.224519508,0.240207126,0.208871745
Deaths,Female,Female,All ages,Breast cancer,Rate,1994,14.76590406,15.29329905,14.17176065
Deaths,Both,Both,All ages,Breast cancer,Rate,1994,7.433952974,7.695502565,7.133966758
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1994,0.359679198,0.385710419,0.331677489
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1994,18.00110577,18.65101789,17.19253419
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1994,9.885708692,10.25085909,9.388790018
Deaths,Male,Male,All ages,Breast cancer,Number,1997,6670.572103,7099.700598,6247.48202
Deaths,Female,Female,All ages,Breast cancer,Number,1997,436955.5877,453040.602,419558.3004
Deaths,Both,Both,All ages,Breast cancer,Number,1997,443626.1598,459789.6811,425926.0083
Deaths,Male,Male,All ages,Breast cancer,Rate,1997,0.223598467,0.237982911,0.209416431
Deaths,Female,Female,All ages,Breast cancer,Rate,1997,14.89567473,15.44400767,14.30260683
Deaths,Both,Both,All ages,Breast cancer,Rate,1997,7.497838002,7.771021767,7.198683263
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1997,0.344951069,0.367752509,0.320061826
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1997,17.68824963,18.32622657,16.90183701
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1997,9.697775203,10.0581191,9.22878098
Deaths,Male,Male,All ages,Breast cancer,Number,1996,6557.669155,6977.419475,6130.232598
Deaths,Female,Female,All ages,Breast cancer,Number,1996,429828.8016,445462.8723,412138.7645
Deaths,Both,Both,All ages,Breast cancer,Number,1996,436386.4707,452122.7404,418501.7464
Deaths,Male,Male,All ages,Breast cancer,Rate,1996,0.222836899,0.237100482,0.208312129
Deaths,Female,Female,All ages,Breast cancer,Rate,1996,14.85645592,15.39682661,14.24502352
Deaths,Both,Both,All ages,Breast cancer,Rate,1996,7.477462641,7.747102919,7.171008691
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1996,0.348658624,0.3726307,0.323045618
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1996,17.80938476,18.45311278,17.0119476
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1996,9.769783353,10.12539768,9.299024831
Deaths,Male,Male,All ages,Breast cancer,Number,1995,6506.234292,6951.926823,6060.654645
Deaths,Female,Female,All ages,Breast cancer,Number,1995,423147.8233,439080.0863,405898.5593
Deaths,Both,Both,All ages,Breast cancer,Number,1995,429654.0576,445586.5685,412334.2354
Deaths,Male,Male,All ages,Breast cancer,Rate,1995,0.224189347,0.239546851,0.208835733
Deaths,Female,Female,All ages,Breast cancer,Rate,1995,14.83061605,15.38901494,14.2260585
Deaths,Both,Both,All ages,Breast cancer,Rate,1995,7.465336968,7.742167967,7.164401117
Deaths,Male,Male,Age-standardized,Breast cancer,Rate,1995,0.355188021,0.381284395,0.328457351
Deaths,Female,Female,Age-standardized,Breast cancer,Rate,1995,17.93396441,18.59464692,17.13673474
Deaths,Both,Both,Age-standardized,Breast cancer,Rate,1995,9.842515367,10.20798672,9.368074768
Deaths,Male,Male,All ages,Breast cancer,Number,1998,6767.546354,7180.082017,6337.312406
Deaths,Female,Female,All ages,Breast cancer,Number,1998,444367.0294,460742.1055,426357.7348
Deaths,Both,Both,All ages,Breast cancer,Number,1998,451134.5758,467299.2496,432954.8261
Deaths,Male,Male,All ages,Breast cancer,Rate,1998,0.223860982,0.237507085,0.209629444
